2^7<128; lcm = 128
419^1<512; lcm = 8200734135995208561243881381767304348351031085254584039501098315714819002751698019056476645571467852362079125240522346656382463460514203268578309155145767459636048117393414426816
421^1<512; lcm = 3452509071253982804283674061724035130655784086892179880629962390915938800158464866022776667785587965844435311726259907942337017116876479576071468154316368100506776257422627473689536
431^1<512; lcm = 1488031409710466588646263520603059141312642941450529528551513790484769622868298357255816743815588413278951619354018020323147254377373762697286802774510354651318420566949152441160190016
433^1<512; lcm = 644317600404632032883832104421124608188374393648079285862805471279905246701973188691768650072149782949786051180289802799922761145402839247925185601362983564020876105488983007022362276928
439^1<512; lcm = 282855426577633462436002293840873702994696358811506806493771601891878403302166229835686437381673754714956076468147223429166092142831846429839156478998349784605164610309663540082817039571392
443^1<512; lcm = 125304953973891623859149016171507050426650486953497515276740819638102132662859639817209091760081473338725541875389219979120578819274507968418746320196268954580087922367180948256687948530126656
449^1<512; lcm = 56261924334277339112757908261006665641566068642120384359256628017507857565623978277926882200276581529087768302049759770625139889854254077820017097768124760606459477142864245767252888890026868544
457^1<512; lcm = 25711699420764743974530364075280046198195693369449015652180279004001090907490158073012585165526397758793110114036740215175688929663394113563747813680033015597151981054288960315634570222742278924608
461^1<512; lcm = 11853093432972546972258497838704101297368214643315996215655108620844502908352962871658801761307669366803623762570937239195992596574824686352887742106495220190287063266027210705507536872684190584244288
463^1<512; lcm = 5487982259466289248155684499319998900681483379855306247848315291451004846567421809578025215485450916830077802070343941747744572214143829781387024595307286948102910292170598556649989572052780240505105344
467^1<512; lcm = 2562887715170757078888704661182439486618252738392428017745163241107619263346985985072937775631705578159646333566850620796196715224005168507907740486008503004764059106443669525955545130148648372315884195648
479^1<512; lcm = 1227623215566792640787689532706388514090143061689973020499933192490549627143206286849937194527586971938470593778521447361378226592298475715287807692798072939281984311986517702932706117341202570339308529715392
487^1<512; lcm = 597852505981028016063604802428011206361899671043016860983467464742897668418741461695919413734934855334035179170139944864991196350449357673345162346392661521430326359937434121328227879145165651755243253971395904
491^1<512; lcm = 293545580436684755887229957992153502323692738482121278742882525188762755193602057692696432143853013969011272972538712928710677408070634617612474712078796807022290242729280153572159888660276335011824437699955388864
499^1<512; lcm = 146479244637905693187727749038084597659522676502578518092698380069192614841607426788655519639782653970536625213296817751426628026627246674188624881327319606704122831121910796632507784441477891170900394412277739043136
503^1<512; lcm = 73679060052866563673427057766156552622739906280796994600627285174803885265328535674693726378810674947179922482288299328967593897393505077116878315307641762172173784054321130706151415574063379258962898389375702738697408
509^1<512; lcm = 37502641566909080909774372402973685284974612296925670251719288153975177600052224658419106726814633548114580543484744358444505293773294084252491062491589656945636456083649455529431070527198260042812115280192232693996980672
2
FINAL ANSWER: 512: 2
512 37502641566909080909774372402973685284974612296925670251719288153975177600052224658419106726814633548114580543484744358444505293773294084252491062491589656945636456083649455529431070527198260042812115280192232693996980672000 2
2^10<1024; lcm = 1024
3^6<1024; lcm = 746496
5^4<1024; lcm = 46656000
7^3<1024; lcm = 1600300800
11^2<1024; lcm = 19363639680
13^2<1024; lcm = 327245510592
17^2<1024; lcm = 94573952561088
19^2<1024; lcm = 34141196874552768
23^2<1024; lcm = 18060693146638414272
29^2<1024; lcm = 15189042936322906402752
31^2<1024; lcm = 14596670261806313053044672
37^1<1024; lcm = 540076799686833582962652864
41^1<1024; lcm = 22143148787160176901468767424
43^1<1024; lcm = 952155397847887606763156999232
47^1<1024; lcm = 44751303698850717517868378963904
53^1<1024; lcm = 2371819096039088028447024085086912
59^1<1024; lcm = 139937326666306193678374421020127808
61^1<1024; lcm = 8536176926644677814380839682227796288
67^1<1024; lcm = 571923854085193413563516258709262351296
71^1<1024; lcm = 40606593640048732363009654368357626942016
73^1<1024; lcm = 2964281335723557462499704768890106766767168
79^1<1024; lcm = 234178225522161039537476676742318434574606272
83^1<1024; lcm = 19436792718339366281610564169612430069692320576
89^1<1024; lcm = 1729874551932203599063340211095506276202616531264
97^1<1024; lcm = 167797831537423749109144000476264108791653803532608
101^1<1024; lcm = 16947580985279798660023544048102674987957034156793408
103^1<1024; lcm = 1745600841483819261982425036954575523759574518149721024
107^1<1024; lcm = 186779290038768661032119478954139581042274473442020149568
109^1<1024; lcm = 20358942614225784052501023206001214333607917605180196302912
113^1<1024; lcm = 2300560515407513597932615622278137219697694689385362182229056
127^1<1024; lcm = 292171185456754226937442184029323426901607225551940997143090112
131^1<1024; lcm = 38274425294834803728804926107841368924110546547304270625744804672
137^1<1024; lcm = 5243596265392368110846274876774267542603144876980685075727038240064
139^1<1024; lcm = 728859880889539167407632207871623188421837137900315225526058315368896
149^1<1024; lcm = 108600122252541335943737198972871855074853733547146968603382688989965504
151^1<1024; lcm = 16398618460133741727504317044903650116302913765619192259110786037484791104
157^1<1024; lcm = 2574583098240997451218177776049873068259557461202213184680393407885112203328
163^1<1024; lcm = 419657045013282584548562977496129310126307866175960749102904125485273289142464
167^1<1024; lcm = 70082726517218191619610017241853594791093413651385445100184988956040639286791488
173^1<1024; lcm = 12124311687478747150192532982840671898859160561689682002332003089395030596614927424
179^1<1024; lcm = 2170251792058695739884463403928480269895789740542453078417428553001710476794072008896
181^1<1024; lcm = 392815574362623928919087876111054928851137943038184007193554568093309596299727033610176
191^1<1024; lcm = 75027774703261170423545784337211491410567347120293145373968922505822132893247863419543616
193^1<1024; lcm = 14480360517729405891744336377081817842239497994216577057176002043623671648396837639971917888
197^1<1024; lcm = 2852631021992692960673634266285118114921181104860665680263672402593863314734177015074467823936
199^1<1024; lcm = 567673573376545899174053218990738504869315039867272470372470808116178799632101225999819096963264
211^1<1024; lcm = 119779123982451184725725229207045824527425473411994491248591340512513726722373358685961829459248704
223^1<1024; lcm = 26710744648086614193836726113171218869615880570874771548435868934290561059089258986969487969412460992
227^1<1024; lcm = 6063339035115661422000936827689866683402804889588573141494942248083957360413261790042073769056628645184
229^1<1024; lcm = 1388504639041486465638214533540979470499242319715783249402341774811226235534636949919634893113967959747136
233^1<1024; lcm = 323521580896666346493703986315048216626323460493777497110745633531015712879570409331274930095554534621082688
239^1<1024; lcm = 77321657834303256811995252729296523773691307058012821809468206413912755378217327830174708292837533774438762432
241^1<1024; lcm = 18634519538067084891690855907760462229459605000981090056081837745752974046150376007072104698573845639639741746112
251^1<1024; lcm = 4677264404054838307814404832847876019594360855246253604076541274183996485583744377775098279342035255549575178274112
257^1<1024; lcm = 1202056951842093445108302042041904137035750739798287176247671107465287096795022305088200257790903060676240820816446784
263^1<1024; lcm = 316140978334470576063483437057020788040402444566949527353137501263370506457090866238196667799007504957851335874725504192
269^1<1024; lcm = 85041923171972584961077044568338591982868257588509422857993987839846666236957443018074903637933018833662009350301160627648
271^1<1024; lcm = 23046361179604570524451879078019758427357297806486053594516370704598446550215467057898298885879848103922404533931614530092608
277^1<1024; lcm = 6383842046750466035273170504611473084377971492396636845681034685173769694409684375037828791388717924786506055899057224835652416
281^1<1024; lcm = 1793859615136880955911760911795823936710209989363454953636370746533829284129121309385629890380229736865008201707635080178818328896
283^1<1024; lcm = 507662271083737310523028338038218174088989426989857751879092921269073687408541330556133258977605015532797321083260727690605587077568
293^1<1024; lcm = 148745045427535031983247303045197925008073902108028321300574225931838590410702609852947044880438269551109615077395393213347437013727424
307^1<1024; lcm = 45664728946253254818856922034875762977478687947164694639276287361074447256085701224854742778294548752190651828760385716497663163214319168
311^1<1024; lcm = 14201730702284762248664502752846362285995871951568220032814925369294153096642653080929825004049604661931292718744479957830773243759653261248
313^1<1024; lcm = 4445141709815130583831989361640911395516707920840852870271071640589069919249150414331035226267526259184494620967022226801032025296771470770624
317^1<1024; lcm = 1409109922011396395074740627640168912378796410906550359875929710066735164401980681342938166726805824161484794846546045895927152019076556234287808
331^1<1024; lcm = 466415384185772206769739147748895909997381612010068169118932734032089339417055605524512533186572727797451467094206741191551887318314340113549264448
337^1<1024; lcm = 157181984470605233681402092791377921669117603247392972993080331368814107383547739061760723683875009267741144410747671781552986026271932618266102118976
347^1<1024; lcm = 54542148611300016087446526198608138819183808326845361628598874984978495262091065454430971118304628215906177110529442108198886151116360618538337435284672
349^1<1024; lcm = 19035209865343705614518837643314240447895149106069031208381007369757494846469781843596408920288315247351255811574775295761411266739609855869879764914350528
353^1<1024; lcm = 6719429082466328081925149688089926878106987634442368016558495601524395680803832990789532348861775282314993301485895679403778177159082279122067557014765736384
359^1<1024; lcm = 2412275040605411781411128738024283749240408560764810117944499920947258049408576043693442113241377326351082595233436548905956365600110538204822252968300899361856
367^1<1024; lcm = 885304939902186123777884246854912135971229941800685313285631470987643704132947408035493255559585478770847312450671213448485986175240567521169766839366430065801152
373^1<1024; lcm = 330218742583515424169150824076882226717268768291655621855540538678391101641589383197238984323725383581526047544100362616285272843364731685396323031083678414543829696
379^1<1024; lcm = 125152903439152345760108162325138363925844863182537480683249864159110227522162376231753575058691920377398372019214037431572118407635233308765206428780714119112111454784
383^1<1024; lcm = 47933562017195348426121426170527993383598582598911855101684697972939217140988190096761619247479005504543576483358976336292121350124294357257074062223013507619938687182272
389^1<1024; lcm = 18646155624688990537761234780335389426219848630976711634555347511473355467844405947640269887269333141267451252026641794817635205198350504973001810204752254464156149313903808
397^1<1024; lcm = 7402523783001529243491210207793149602209279906497754518918472962054922120734229161213187145245925257083178147054576792542601176463745150474281718651286645022269991277619811776
401^1<1024; lcm = 2968412036983613226639975293325052990485921242505599562086307657784023770414425893646488045243616028090354436968885293809583071761961805340186969179165944653930266502325544522176
409^1<1024; lcm = 1214080523126297809695749894969946673108741788184790220893299832033665722099500190501413610504638955488954964720274085168119476350642378384136470394278871363457478999451147709569984
419^1<1024; lcm = 508699739189918782262519205992407656032562809249427102554292629622105937559690579820092302801443722349872130217794841685442060590919156542953181095202847101288683700770030890309823296
421^1<1024; lcm = 214162590198955807332520585722803623189708942694008810175357197070906599712629734104258859479407807109296166821691628349571107508776964904583289241080398629642535838024183004820435607616
431^1<1024; lcm = 92304076375749952960316372446528361594764554301117797185578951937560744476143415398935568435624764864106647900149091818665147336282871873875397662905651809375932946188422875077607746882496
433^1<1024; lcm = 39967665070699729631816989269346780570533052012384006181355686188963802358170098867739101132625523186158178540764556757482008796610483521388047188038147233459778965699587104908604154400120768
439^1<1024; lcm = 17545804966037181308367658289243236670464009833436578713615146236955109235236673402937465397222604678723440379395640416534601861712002265889352715548746635488842965942118739054877223781653017152
443^1<1024; lcm = 7772791599954471319606872622134753845015556356212404370131509782971113391209846317501297170969613872674484088072268704524828624738417003788983252988094759521557433912358601401310610135272286598336
449^1<1024; lcm = 3489983428379557622503485807338504476411984803939369562189047892554029912653220996558082429765356628830843355544448648331648052507549234701253480591654547025179287826649012029188463950737256682652864
457^1<1024; lcm = 1594922426769457833484093013953696545720277055400291889920394886897191670082521995427043670402767979375695413483813032287563159995950000258472840630386127990506934536778598497339128025486926303972358848
461^1<1024; lcm = 735259238740720061236166879432654107577047722539534561253302042859605359908042639891867132055676038492195585616037807884566616758132950119155979530608005003623696821454933907273338019749473026131257428928
463^1<1024; lcm = 340425027536953388352345265177318851808173095535804501860278845843997281637423742269934482141778005821886556140225505050554343559015555905169218522671506316677771628333634399067555503144006011098772189593664
467^1<1024; lcm = 158978487859757232360545238837807903794416835615220702368750221009146730524676887640059403160210328718821021717485310858608878442060264607714025050087593449888519350431807264364548419968250807183126612540241088
479^1<1024; lcm = 76150695684823714300701169403309985917525664259690716434631355863381283921320229179588454113740747456315269402675463901273652773746866747095017998991957262496600768856835679630618693164792136640717647406775481152
487^1<1024; lcm = 37085388798509148864441469499411963141834998494469378903665470305466685269682951610459577153391744011225536199102950919920268900814724105835273765509083186835844574433278975980111303571253770544029494287099659321024
491^1<1024; lcm = 18208925900067992092440761524211273902640984260784465041699745919984142467414329240735652382315346309511738273759548901680852030300029535965119418864959844736399686046739977206234650053485601337118481694965932726622784
499^1<1024; lcm = 9086254024133928054127940000581425677417851146131448055808173214072087091239750291127090538775357808446357398606014901938745163119714738446594590013614962523463443337323248625911090376689315067222122365788000430584769216
503^1<1024; lcm = 4570385774139365811226353820292457115741179126504118372071511126678259806893594396436926541004004977648517771498825495675188817049216513438637078776848326149302111998673594058833278459474725478812727549991364216584138915648
509^1<1024; lcm = 2326326359036937197914214094528860671912260175390596251384399163479234241708839547786395609371038533623095545692902177298671107878051205340266273097415798009994775007324859375946138735872635268715678322945604386241326708064832
521^1<1024; lcm = 1212016033058244280113305543249536410066287551378500646971271964172681039930305404396712112482311076017632779306002034372607647204464677982278728283753630763207277778816251734867938281389642975000868406254659885231731214901777472
523^1<1024; lcm = 633884385289461758499258799119507542464668389370955838365975237262312183883549726499480434828248692757221943577039063976873799487935026584731774892403148889157406278320899657335931721166783275925454176471187119976195425393629617856
541^1<1024; lcm = 342931452441598811348099010323653580473385598649687108555992603358910891481000402036218915242082542781657071475178133611488725522972849382339890216790103549034156796571606714618739061151229752275670709470912231907121725137953623260096
547^1<1024; lcm = 187583504485554549807410158647038508518941922461378848380127954037324257640107219913811746637419150901566418096922439085484332861066148612139919948584186641321683767724668872896450266449722674494791878080588990853195583650460631923272512
557^1<1024; lcm = 104484011998453884242727458366400449245050650810988018547731270398789611505539721491993142877042467052172494879985798570614773403613844776961935411361391959216177858622640562203322798412495529693599076090888067905229940093306571981262789184
563^1<1024; lcm = 58824498755129536828655559060283452924963516406586254442372705234518551277618863199992139439774908950373114617432004595256117426234594609429569636596463673038708134404546636520470735506234983217496279839169982230644456272531600025450950310592
569^1<1024; lcm = 33471139791668706455505013105301284714304240835347578777710069278441055676965133160795527341231923192762302217318810614700730815527484332765425123223387829959024928476187036180147848503047705450755383228487719889236695619070480414481590726726848
571^1<1024; lcm = 19112020821042831386093362483127033571867721516983467482072449557989842791547091034814246111843428143067274566089040860994117295666193554009057745360554450906603234159902797658864421495240239812381323823466488056754153198489244316668988304961030208
577^1<1024; lcm = 11027636013741713709775870152764298370967675315299460737155803394960139290722671527087820006533658038549817424633376576793605679599393680663226319073039918173110066110263914249164771202753618371744023846140163608747146395528293970718006251962514430016
587^1<1024; lcm = 6473222340066385947638435779672643143758025410080783452710456592841601763654208186400550343835257268628742828259792050577846533924844090549313849295874431967615608806724917664259720696016373984213741997684276038334574934175108560811469669901995970419392
593^1<1024; lcm = 3838620847659366866949592417345877384248509068177904587457300759555069845846945454535526353894307560296844497158056685992662994617432545695743112632453538156796056022387876174906014372737709772638749004626775690732402935965839376561201514251883610458699456
599^1<1024; lcm = 2299333887747960753302805857990180553164856931838564847886923154973486837662320327266780285982690228617809853797675954909605133775842094871750124466839669355920837557410337828768702609269888153810610653771438638748709358643537786560159707036878282664760974144
601^1<1024; lcm = 1381899666536524412734986320652098512452079016034977473580040816139065589435054516687334951875596827399303722132403248900672685399281099017921824804570641282908423372003613035089990268171202780440177002916634621887974324544766209722655983929163847881521345460544
607^1<1024; lcm = 838813097587670318530136696635823797058411962733231326463084775396412812787078091629212315788487274231377359334368772082708320037363627103878547656374379258725412986806193112299624092779920087727187440770397215486000414998673089301652182245002455664083456694550208
613^1<1024; lcm = 514192428821241905258973795037759987596806533155470803121870967318001054238478870168707149578342699103834321271968057286700200182903903414677549713357494485598678160912196377839669568874091013776765901192253493092918254394186603741912787716186505322083158953759277504
617^1<1024; lcm = 317256728582706255544786831538297912347229630956925485526194386835206650465141462894092311289837445347065776224804291345894023512851708406856048173141574097614384425282825165127076123995314155500264561035620405238330562961213134508760190020887073783725309074469474219968
619^1<1024; lcm = 196381914992695172182223048722206407742935141562336875540714325450992916637922565531443140688409378669833715483153856343108400554455207503843893819174634366423303959250068777213660120753099462254663763281049030842526618472990930260922557622929098672125966317096604542160192
631^1<1024; lcm = 123916988360390653646982743743712243285792074325834568466190739359576530398529138850340621774386317940665074469870083352501400749861235934925496999899194285213104798286793398421819536195205760682692834630341938461634296256457276994642133860068261262111484746087957466103081152
641^1<1024; lcm = 79430789539010408987715938739719547946192719642859958386828263929488555985457178003068338557381629799966312735186723428953397880661052234287243576935383536821600175701834568388386322701126892597606106998049182553907583900389114553565607804303755469013461722242380735772075018432
643^1<1024; lcm = 51073997673583692979101348609639669329401918730358953242730573706661141498648965455972941692396387961378339088725063164817034837265056586646697619969451614176288912976279627473732405496824591940260726799745624382162576447950200657942685818167314766575655887401850813101444236851776
647^1<1024; lcm = 33044876494808649357478572550436866056123041418542242748046681188209758549625880650014493274980463011011785390405115867636621539710491611560413360120235194372058926695652918975504866356445510985348690239435418975259186961823779825688917724354252653974449359148997476076634421243099072
653^1<1024; lcm = 21578304351110048030433507875435273534648346046308084514474482815900972332905700064459464108562242346190695859934540661566713865430951022348949924158513581924954479132261356091004677730758918673432694726351328590844249086070928226174863274003326983045315431524295351878042277071743694016
